SYMBOL,ISIN
CYBERMEDIA,INE278G01037
CYBERTECH,INE214A01019
DAAWAT,INE818H01020
DABUR,INE016A01026
DALMIABEL,INE439L01019
DALMIASUG,INE495A01022
DATAMATICS,INE365B01017
DBCORP,INE950I01011
DBREALTY,INE879I01012
DCB,INE503A01015
DCHL,INE137G01027
DCM,INE498A01018
DCMSRMCONS,INE499A01024
DCW,INE500A01029
DECCANCE,INE583C01021
DECOLIGHT,INE172I01012
DEEPAKFERT,INE501A01019
DEEPAKNTR,INE288B01029
DEEPIND,INE677H01012
DELTACORP,INE124G01033
DEN,INE947J01015
DENABANK,INE077A01010
DENORA,INE244A01016
DENSO,INE502A01017
DEWANHOUS,INE202B01012
DHAMPURSUG,INE041A01016
DHANBANK,INE680A01011
DHARSUGAR,INE988C01014
DHUNINV,INE320L01011
DIAPOWER,INE989C01012
DICIND,INE303A01010
DIGJAM,INE471A01023
DISHMAN,INE353G01020
DISHTV,INE836F01026
DIVISLAB,INE361B01024
DLF,INE271C01023
DLINKINDIA,INE250K01012
DOLPHINOFF,INE920A01011
DONEAR,INE668D01028
DPSCLTD,INE360C01024
DPTL,INE477B01010
DQE,INE656K01010
DREDGECORP,INE506A01018
DRREDDY,INE089A01031
DSKULKARNI,INE891A01014
DUNCANSIND,INE508A01014
DWARKESH,INE366A01041
DYNAMATECH,INE221B01012
DYNASYS,INE417B01032
EASTSILK,INE962C01027
EASUNREYRL,INE268C01029
ECEIND,INE588B01014
ECLERX,INE738I01010
EDELWEISS,INE532F01054
EDL,INE180G01019
EDSERV,INE889J01019
EDUCOMP,INE216H01027
EICHERMOT,INE066A01021
EIDPARRY,INE126A01031
EIHAHOTELS,INE276C01014
EIHOTEL,INE230A01023
EIMCOELECO,INE158B01016
EKC,INE184H01027
ELDERPHARM,INE975A01015
ELECON,INE205B01031
ELECTCAST,INE086A01029
ELECTHERM,INE822G01016
ELFORGE,INE158F01017
ELGIEQUIP,INE285A01027
ELNET,INE033C01019
EMAMIINFRA,INE778K01012
EMAMILTD,INE548C01032
EMCO,INE078A01026
EMKAY,INE296H01011
EMMBI,INE753K01015
EMPEESUG,INE928B01012
ENERGYDEV,INE306C01019
ENGINERSIN,INE510A01028
ENIL,INE265F01028
ENTEGRA,INE826A01028
ERAINFRA,INE039E01020
EROSMEDIA,INE416L01017
ESABINDIA,INE284A01012
ESCORTS,INE042A01014
ESL,INE481K01013
ESSAROIL,INE011A01019
ESSARPORTS,INE282A01024
ESSDEE,INE825H01017
ESSELPACK,INE255A01020
ESTER,INE778B01029
EUROCERA,INE649H01011
EUROMULTI,INE063J01011
EUROTEXIND,INE022C01012
EVEREADY,INE128A01029
EVERESTIND,INE295A01018
EVERONN,INE678H01010
EVINIX,INE961H01028
EXCELCROP,INE223G01017
EXCELINDUS,INE369A01029
EXCELINFO,INE688J01015
EXIDEIND,INE302A01020
FACT,INE188A01015
FAGBEARING,INE513A01014
FAME,INE886G01011
FARMAXIND,INE890I01035
FCH,INE688I01017
FCSSOFT,INE512B01022
FDC,INE258B01022
FEDDERLOYD,INE249C01011
FEDERALBNK,INE171A01029
FIEMIND,INE737H01014
FINANTECH,INE111B01023
FINCABLES,INE235A01022
FINPIPE,INE183A01024
FIRSTLEASE,INE492B01019
FIRSTWIN,INE315J01015
FKONCO,INE575G01010
FMGOETZE,INE529A01010
FORTIS,INE061F01013
FOSECOIND,INE519A01011
FOURSOFT,INE218G01017
FSL,INE684F01012
FUTUREVENT,INE220J01017
GABRIEL,INE524A01029
GAEL,INE036B01030
GAIL,INE129A01019
GAL,INE482J01021
GALLANTT,INE297H01019
GALLISPAT,INE528K01029
GAMMNINFRA,INE181G01025
GAMMONIND,INE259B01020
GANDHITUBE,INE524B01027
GANESHHOUC,INE460C01014
GANGOTRI,INE670B01028
GARDENSILK,INE526A01016
GARWALLROP,INE276A01018
GATI,INE152B01027
GDL,INE852F01015
GEECEE,INE916G01016
GEINDSYS,INE599B01011
GEMINI,INE878C01033
GENESYS,INE727B01026
GENUSPOWER,INE955D01029
GEODESIC,INE371D01029
GEOJITBNPP,INE007B01023
GEOMETRIC,INE797A01021
GESHIP,INE017A01032
GHCL,INE539A01019
GICHSGFIN,INE289B01019
GILLANDERS,INE047B01011
GILLETTE,INE322A01010
GINNIFILA,INE424C01010
GIPCL,INE162A01010
GISOLUTION,INE065J01016
GITANJALI,INE346H01014
GKB,INE265D01015
GKWLIMITED,INE528A01020
GLAXO,INE159A01016
GLENMARK,INE935A01035
GLFL,INE540A01017
GLOBALVECT,INE792H01019
GLOBOFFS,INE446C01013
GLOBUSSPR,INE615I01010
GLODYNE,INE932G01021
GMBREW,INE075D01018
GMDCLTD,INE131A01031
GMRINFRA,INE776C01039
GNFC,INE113A01013
GOACARBON,INE426D01013
GODFRYPHLP,INE260B01028
GODREJCP,INE102D01028
GODREJIND,INE233A01035
GODREJPROP,INE484J01027
GOENKA,INE516K01024
GOKEX,INE887G01027
GOKUL,INE020J01029
GOLDENTOBC,INE973A01010
GOLDIAM,INE025B01025
GOLDINFRA,INE260D01016
GOLDTECH,INE805A01014
GPIL,INE177H01039
GPPL,INE517F01014
GRABALALK,INE012D01011
GRANULES,INE101D01020
GRAPHITE,INE371A01025
GRASIM,INE047A01021
GRAVITA,INE024L01027
GREAVESCOT,INE224A01026
GREENPLY,INE461C01038
GREENPOWER,INE999K01014
GRINDWELL,INE536A01023
GRUH,INE580B01029
GSFC,INE026A01025
GSKCONS,INE264A01014
GSLNOVA,INE787A01022
GSPL,INE246F01010
GSSAMERICA,INE871H01011
GTL,INE043A01012
GTLINFRA,INE221H01019
GTNIND,INE537A01013
GTNTEX,INE302H01017
GTOFFSHORE,INE892H01017
GUJALKALI,INE186A01019
GUJAPOLLO,INE826C01016
GUJFLUORO,INE538A01037
GUJNRECOKE,INE110D01013
GUJRATGAS,INE374A01029
GUJSIDHCEM,INE542A01013
GULFOILCOR,INE077F01027
GVKPIL,INE251H01024
HALONIX,INE455B01016
HANUNG,INE648H01013
HARITASEAT,INE939D01015
HARRMALAYA,INE544A01019
HATHWAY,INE982F01036
HAVELLS,INE176B01034
HBLPOWER,INE292B01021
HBSTOCK,INE550B01014
HCC,INE549A01026
HCIL,INE019C01026
HCL-INSYS,INE236A01020
HCLTECH,INE860A01027
HDFC,INE001A01036
HDFCBANK,INE040A01034
HDIL,INE191I01012
HEG,INE545A01024
HEIDELBERG,INE578A01017
HELIOSMATH,INE674B01012
HERCULES,INE688E01024
HERITGFOOD,INE978A01027
HEROHONDA,INE158A01026
HEXAWARE,INE093A01033
HFCL,INE548A01028
HGSL,INE170I01016
HIKAL,INE475B01022
HILTON,INE788H01017
HIMATSEIDE,INE049A01027
HINDALCO,INE038A01020
HINDCOMPOS,INE310C01029
HINDCOPPER,INE531E01026
HINDDORROL,INE551A01022
HINDMOTORS,INE253A01025
HINDNATGLS,INE952A01022
HINDOILEXP,INE345A01011
HINDPETRO,INE094A01015
HINDUJAFO,INE291F01016
HINDUJAVEN,INE353A01023
HINDUNILVR,INE030A01027
HINDZINC,INE267A01025
HIRECT,INE835D01023
HITACHIHOM,INE782A01015
HITECHGEAR,INE127B01011
HITECHPLAS,INE120D01012
HMT,INE262A01018
HMVL,INE871K01015
HOCL,INE048A01011
HONAUT,INE671A01010
HONDAPOWER,INE634A01018
HOTELEELA,INE102A01024
HOTELRUGBY,INE275F01019
HOVS,INE596H01014
HSIL,INE415A01038
HTMEDIA,INE501G01024
HYDRBADIND,INE557A01011
HYDROS&S,INE473D01015
IBN18,INE886H01027
IBPOW,INE399K01017
IBREALEST,INE069I01010
IBSEC,INE274G01010
ICICIBANK,INE090A01021
ICIL,INE483B01026
ICRA,INE725G01011
ICSA,INE306B01029
IDBI,INE008A01015
IDEA,INE669E01016
IDFC,INE043D01016
IFBAGRO,INE076C01018
IFBIND,INE559A01017
IFCI,INE039A01010
IFGLREFRAC,INE023B01012
IGARASHI,INE188B01013
IGL,INE203G01027
IGPL,INE204A01010
IL&FSENGG,INE369I01014
IL&FSTRANS,INE975G01012
IMPAL,INE547E01014
IMPEXFERRO,INE691G01015
INDBANK,INE841B01017
INDHOTEL,INE053A01029
INDIABULLS,INE894F01025
INDIACEM,INE383A01012
INDIAGLYCO,INE560A01023
INDIAINFO,INE530B01024
INDIANB,INE562A01011
INDIANCARD,INE061A01014
INDIANHUME,INE323C01030
INDLMETER,INE065B01013
INDNIPPON,INE092B01025
INDOASIFU,INE076H01017
INDOCO,INE873D01024
INDORAMA,INE156A01020
INDOSOLAR,INE866K01015
INDOTECH,INE332H01014
INDOWIND,INE227G01018
INDRAMEDCO,INE681B01017
INDSWFTLAB,INE915B01019
INDSWFTLTD,INE788B01028
INDUSFILA,INE025I01012
INDUSINDBK,INE095A01012
INEABS,INE189B01011
INFINITE,INE486J01014
INFODRIVE,INE804D01029
INFOMEDIA,INE669A01022
INFOSYSTCH,INE009A01021
INFOTECENT,INE136B01020
INGERRAND,INE177A01018
INGVYSYABK,INE166A01011
INNOIND,INE549I01011
INOXLEISUR,INE312H01016
INSECTICID,INE070I01018
IOB,INE565A01014
IOC,INE242A01010
IOLCP,INE485C01029
IOLN,INE517C01011
IPCALAB,INE571A01038
IPRINGLTD,INE558A01019
IRB,INE821I01022
ISFT,INE566K01011
ISMTLTD,INE732F01019
ISPATIND,INE136A01022
ITC,INE154A01025
ITDCEM,INE686A01026
ITI,INE248A01017
IVC,INE050B01023
IVP,INE043C01018
IVRCLAH,INE414I01018
IVRCLINFRA,INE875A01025
J&KBANK,INE168A01041
JAGRAN,INE199G01027
JAGSNPHARM,INE048B01035
JAIBALAJI,INE091G01026
JAICORPLTD,INE070D01027
JAINSTUDIO,INE486B01011
JAMNAAUTO,INE039C01032
JAYAGROGN,INE785A01026
JAYBARMARU,INE571B01036
JAYNECOIND,INE854B01010
JAYSREETEA,INE364A01020
JBCHEPHARM,INE572A01036
JBFIND,INE187A01017
JCTEL,INE264B01020
JENSONICOL,INE819B01021
JETAIRWAYS,INE802G01018
JHS,INE544H01014
JIKIND,INE026B01049
JINDALPHOT,INE796G01012
JINDALPOLY,INE197D01010
JINDALSAW,INE324A01032
JINDALSTEL,INE749A01030
JINDALSWHL,INE824G01012
JINDCOT,INE904J01016
JINDRILL,INE742C01031
JINDWORLD,INE247D01039
JISLJALEQS,INE175A01038
JKCEMENT,INE823G01014
JKIL,INE576I01022
JKLAKSHMI,INE786A01032
JKPAPER,INE789E01012
JKTYRE,INE573A01042
JMCPROJECT,INE890A01024
JMFINANCIL,INE780C01023
JMTAUTOLTD,INE988E01036
JOCIL,INE839G01010
JPASSOCIAT,INE455F01025
JPINFRATEC,INE099J01015
JPPOWER,INE351F01018
JSL,INE220G01021
JSWENERGY,INE121E01018
JSWSTEEL,INE019A01038
JUBILANT,INE700A01033
JUBLFOOD,INE797F01020
JUBLINDS,INE645L01011
JUMBO,INE699D01015
JUPITER,INE918B01013
JVLAGRO,INE430G01026
JYOTHYLAB,INE668F01031
JYOTISTRUC,INE197A01024
KABRAEXTRU,INE900B01029
KAJARIACER,INE217B01036
KAKATCEM,INE437B01014
KALECONSUL,INE793A01012
KALINDEE,INE178D01010
KALPATPOWR,INE220B01022
KAMATHOTEL,INE967C01018
KANDAGIRI,INE292D01019
KANORICHEM,INE138C01024
KANSAINER,INE531A01024
KARURKCP,INE727F01019
KARURVYSYA,INE036D01028
KAUSHALYA,INE234I01028
KAVVERITEL,INE641C01019
KBIL,INE920K01010
KCP,INE805C01028
KCPSUGIND,INE790B01024
KEC,INE389H01022
KECL,INE134B01017
KEI,INE878B01027
KEMROCK,INE990B01012
KERNEX,INE202H01019
KESARENT,INE133B01019
KESORAMIND,INE087A01019
KFA,INE438H01019
KGL,INE299C01024
KHAITANELE,INE761A01019
KHAITANLTD,INE731C01018
KHANDSE,INE060B01014
KICL,INE029L01018
KIL,INE390H01012
KILITCH,INE729D01010
KINETICMOT,INE267B01015
KIRIINDUS,INE415I01015
KIRLOSBROS,INE732A01036
KIRLOSENG,INE146L01010
KIRLOSIND,INE250A01039
KITPLYIND,INE147B01019
KKCL,INE401H01017
KLGSYSTEL,INE799A01019
KLRF,INE014E01015
KMSUGAR,INE157H01023
KNRCON,INE634I01029
KOHINOOR,INE080B01012
KOLTEPATIL,INE094I01018
KOPRAN,INE082A01010
KOTAKBANK,INE237A01036
KOTARISUG,INE419A01022
KOTHARIPET,INE720A01015
KOTHARIPRO,INE823A01017
KOUTONS,INE406I01014
KPIT,INE836A01035
KPRMILL,INE930H01031
KRBL,INE001B01026
KRISHNAENG,INE409C01011
KSBPUMPS,INE999A01015
KSCL,INE455I01029
KSE,INE953E01022
KSERASERA,INE216D01026
KSK,INE143H01015
KSL,INE907A01026
KSOILS,INE727D01022
KTKBANK,INE614B01018
KWALITY,INE775B01025
LAKPRE,INE651C01018
LAKSHMIEFL,INE992B01026
LAKSHMIMIL,INE938C01019
LAKSHVILAS,INE694C01018
LANCOIN,INE943C01027
LAOPALA,INE059D01020
LAXMIMACH,INE269B01029
LCCINFOTEC,INE938A01021
LGBBROSLTD,INE337A01034
LGBFORGE,INE201J01017
LIBERTSHOE,INE557B01019
LICHSGFIN,INE115A01026
LITL,INE785C01048
LLOYDELENG,INE245C01019
LLOYDFIN,INE174A01015
LLOYDSTEEL,INE292A01015
LML,INE862A01015
LOGIXMICRO,INE848A01014
LOKESHMACH,INE397H01017
LOTUSEYE,INE947I01017
LOVABLE,INE597L01014
LPDC,INE197J01017
LT,INE018A01030
LUMAXAUTO,INE547G01019
LUMAXIND,INE162B01018
LUMAXTECH,INE872H01027
LUPIN,INE326A01037
LYKALABS,INE933A01014
M&M,INE101A01026
M&MFIN,INE774D01024
MAANALU,INE215I01027
MADHAV,INE925C01016
MADHUCON,INE378D01032
MADRASCEM,INE331A01037
MADRASFERT,INE414A01015
MAGMA,INE511C01022
MAGNUM,INE387I01016
MAHABANK,INE457A01014
MAHINDFORG,INE536H01010
MAHINDUGIN,INE850A01010
MAHLIFE,INE813A01018
MAHSCOOTER,INE288A01013
MAHSEAMLES,INE271B01025
MALUPAPER,INE383H01017
MALWACOTT,INE272B01015
MANAKSIA,INE015D01022
MANALIPETC,INE201A01024
MANAPPURAM,INE522D01027
MANDHANA,INE087J01010
MANGALAM,INE584F01014
MANGCHEFER,INE558B01017
MANGLMCEM,INE347A01017
MANGTIMBER,INE805B01012
MANINDS,INE993A01026
MANINFRA,INE949H01023
MANJEERA,INE320D01018
MANJUSHREE,INE435H01015
MANUGRAPH,INE867A01022
MARALOVER,INE882A01013
MARG,INE941E01019
MARICO,INE196A01026
MARKSANS,INE750C01026
MARUTI,INE585B01010
MASTEK,INE759A01021
MAWANASUG,INE636A01039
MAX,INE180A01020
MAXWELL,INE450G01024
MBECL,INE748A01016
MBLINFRA,INE912H01013
MCDHOLDING,INE836H01014
MCDOWELL-N,INE854D01024
MCLEODRUSS,INE942G01012
MEGASOFT,INE933B01012
MEGH,INE974H01013
MERCK,INE199A01012
MHRIL,INE998I01010
MIC,INE287C01029
MICROSEC,INE019J01013
MICROTECH,INE358B01012
MINDAIND,INE405E01023
MINDTREE,INE018I01017
MIRCELECTR,INE831A01028
MIRZAINT,INE771A01026
MLL,INE934B01028
MMFL,INE227C01017
MMFSL,INE180C01018
MMTC,INE123F01029
MOIL,INE490G01020
MONNETISPA,INE743C01013
MONSANTO,INE274B01011
MORARJETEX,INE161G01019
MOREPENLAB,INE083A01026
MOSERBAER,INE739A01015
MOTHERSUMI,INE775A01035
MOTILALOFS,INE338I01027
MOTOGENFIN,INE861B01023
MPHASIS,INE356A01018
MPSLTD,INE943D01017
MRF,INE883A01011
MRO-TEK,INE398B01018
MRPL,INE103A01014
MSPL,INE752G01015
MTNL,INE153A01019
MUDRA,INE311H01018
MUKANDENGG,INE022B01014
MUKANDLTD,INE304A01026
MUKTAARTS,INE374B01019
MUNDRAPORT,INE742F01042
MUNJALAU,INE672B01032
MUNJALSHOW,INE577A01027
MURLIIND,INE806B01028
MURUDCERA,INE692B01014
MUTHOOTFIN,INE414G01012
MVL,INE744I01034
MVLIND,INE141B01020
MYSOREBANK,INE651A01020
NAGARFERT,INE580A01013
NAGREEKCAP,INE245I01016
NAGREEKEXP,INE123B01028
NAHARCAP,INE049I01012
NAHARINDUS,INE289A01011
NAHARPOLY,INE308A01027
NAHARSPING,INE290A01027
NANDAN,INE875G01022
NATCOPHARM,INE987B01026
NATIONALUM,INE139A01034
NATNLSTEEL,INE088B01015
NAUKRI,INE663F01032
NAVINFLUOR,INE048G01026
NAVNETPUBL,INE060A01024
NBVENTURES,INE725A01022
NCC,INE868B01028
NCLIND,INE732C01016
NDTV,INE155G01029
NECLIFE,INE023H01027
NEHAINT,INE874D01022
NELCAST,INE189I01024
NELCO,INE045B01015
NEOCURE,INE695B01025
NEPCMICON,INE588A01016
NESCO,INE317F01035
NESTLEIND,INE239A01024
NET4,INE553E01012
NETWORK18,INE870H01013
NEULANDLAB,INE794A01010
NEXTMEDIA,INE747B01016
NEYVELILIG,INE589A01014
NFL,INE870D01012
NHPC,INE848E01016
NICCO,INE241C01026
NIITLTD,INE161A01038
NIITTECH,INE591G01017
NILKAMAL,INE310A01015
NIPPOBATRY,INE567A01028
NISSAN,INE846H01021
NITCO,INE858F01012
NITESHEST,INE639K01016
NITINFIRE,INE489H01020
NITINSPIN,INE229H01012
NMDC,INE584A01023
NOCIL,INE163A01018
NOIDATOLL,INE781B01015
NOL,INE296D01010
NORBTEAEXP,INE369C01017
NORTHGATE,INE217G01019
NOVOPANIND,INE460B01016
NRBBEARING,INE349A01021
NRC,INE953C01018
NSIL,INE023A01030
NTPC,INE733E01010
NUCHEM,INE946A01016
NUCLEUS,INE096B01018
NUMERICPW,INE409B01013
NUTEK,INE318J01027
OBEROIRLTY,INE093I01010
OCL,INE290B01025
OFSS,INE881D01027
OIL,INE274J01014
OILCOUNTUB,INE591A01010
OISL,INE196J01019
OMAXAUTO,INE090B01011
OMAXE,INE800H01010
OMKARCHEM,INE474L01016
OMMETALS,INE239D01028
OMNITECH,INE810H01019
ONGC,INE213A01029
ONMOBILE,INE809I01019
ONWARDTEC,INE229A01017
OPTOCIRCUI,INE808B01016
ORBITCORP,INE628H01015
ORCHIDCHEM,INE191A01019
ORIENTABRA,INE569C01020
ORIENTALTL,INE998H01012
ORIENTBANK,INE141A01014
ORIENTCERA,INE607D01018
ORIENTHOT,INE750A01020
ORIENTLTD,INE609C01024
ORIENTPPR,INE592A01026
ORISSAMINE,INE725E01024
OSWALMIN,INE469B01017
OUDHSUG,INE594A01014
PAEL,INE766A01018
PAGEIND,INE761H01022
PANACEABIO,INE922B01023
PANASONIC,INE841C01015
PANCARBON,INE013E01017
PANORAMUNI,INE194B01029
PANTALOONR,INE623B01027
PAPERPROD,INE275B01026
PARABDRUGS,INE618H01016
PARACABLES,INE074B01023
PARAL,INE620C01013
PARAPRINT,INE702L01010
PARASPETRO,INE162C01024
PAREKHPLAT,INE598A01015
PARRYSUGAR,INE353B01021
PARSVNATH,INE561H01026
PATELENG,INE244B01030
PATINTLOG,INE529D01014
PATNI,INE660F01012
PATSPINLTD,INE790C01014
PBAINFRA,INE160H01019
PDPL,INE904D01019
PDUMJEIND,INE105C01023
PDUMJEPULP,INE606A01024
PEACOCKIND,INE600A01019
PEARLPOLY,INE844A01013
PENIND,INE932A01024
PENINLAND,INE138A01028
PEPL,INE843A01023
PERSISTENT,INE262H01021
PETRONENGG,INE742A01019
PETRONET,INE347G01014
PFC,INE134E01011
PFIZER,INE182A01018
PFOCUS,INE367G01038
PFS,INE560K01014
PGHH,INE179A01014
PHILIPCARB,INE602A01023
PHOENIXLTD,INE211B01039
PIDILITIND,INE318A01026
PIIND,INE603J01030
PIONDIST,INE889E01010
PIONEEREMB,INE156C01018
